,ID,Link,Title,Location,Excerpt,Address,Size (Meters Squared),Price (ZAR),Bedrooms,Bathrooms,Parking Spaces,Estate Agency,Price per Size (ZAR/Meter Squared)
4259,111157046,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111157046,Apartment,Green Point,Located a stone's throw away from the promenade this spacious 2 bedroom apartment has a lot to offer.Apartment Features:2 ...,,88.0,2650000,2.0,1.0,1.0,Tyson Properties Atlantic Seaboard,30113.636363636364
4303,111134300,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111134300,Apartment,Green Point,A perfect investment opportunity with tenants already in place.  This lifestyle property is in a fabulous location within walking ...,,77.0,2199000,2.0,1.0,1.0,Propnet South Africa,28558.44155844156
4337,111104387,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111104387,Apartment,Green Point,We are delighted to offer for sale this light and airy two bedroom apartment with vacant possession in a prime Three Anchor Bay ...,,76.0,2700000,2.0,1.0,1.0,Tyson Properties Atlantic Seaboard,35526.31578947369
4343,111356514,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111356514,Apartment,Green Point,"Modern, north facing townhouse with sea views.Ultra-modern, minimalistic townhouse. North facing with stunning sea views. A ...",,321.0,12500000,3.0,3.5,2.0,RE/MAX Living,38940.80996884735
4357,110770234,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110770234,Apartment,Green Point,Located on High Level Road this is a gem of an apartment!The newly renovated apartment ...,37 High Level,96.0,3690000,2.0,2.0,1.0,Tyson Properties Atlantic Seaboard,38437.5
4358,111161189,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111161189,Apartment,Green Point,"Located in the heart of the Green Point 'Silver Mile'.2 bedroom, 2 bathroom apartment.Internal 71m2, blacony 31 m2, total ...",,102.0,4750000,2.0,2.0,1.0,RE/MAX Living,46568.62745098039
4359,111161020,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111161020,Apartment,Green Point,"Located in the heart of the Green Point 'Silver Mile'.2 bedroom, 2 bathroom apartment.Internal 72m2, blacony 9 m2, total ...",,81.0,4995000,2.0,2.0,2.0,RE/MAX Living,61666.666666666664
4362,111081667,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111081667,Apartment,Green Point,"Modern, north facing townhouse with sea views.Ultra-modern, minimalistic townhouse. North facing with stunning sea views. A ...",,321.0,12500000,3.0,3.5,2.0,RE/MAX Living,38940.80996884735
4408,108254980,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108254980,Apartment,Green Point,[Video-tour available]A hidden gem located on the highly converted Ocean View Drive. ...,1 Ocean View Drive,78.0,4650000,2.0,2.0,,Currin Property Group,59615.38461538462
4419,110904145,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110904145,Apartment,Green Point,"Hotel style-living. Beautiful apartment with sea views consists of 2 bedrooms, 2 ...",45 Main Road,105.0,6950000,2.0,2.0,1.0,Currin Property Group,66190.47619047618
4423,110952562,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110952562,Apartment,Green Point,A home is a special place on earth that belongs to you...Why not have this charming ...,3 Kort,79.0,2999999,2.0,1.0,1.0,RE/MAX Living,37974.670886075946
4453,110005879,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110005879,Apartment,Green Point,"As one of Green Points flagship developments, Green Point One 77 stands out from the crowd, high end finishes and big open balcony ...",,120.0,4495000,2.0,2.0,2.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,37458.333333333336
4476,111102511,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111102511,Apartment,Green Point,Exclusive Mandate | Asking: R1 895 000We are proud to present yet another one of Cape Town’s great investment gems. This apartment ...,,59.0,1895000,1.0,1.0,2.0,Quay 1 International Realty,32118.64406779661
4519,108472030,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108472030,Apartment,Green Point,Beautiful and modern apartment located in Green Point with great city and ocean views.The apartment comprises 3 en-suite bedrooms ...,,194.0,11950000,3.0,3.5,2.0,Lance Real Estate,61597.9381443299
4536,111208995,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111208995,Apartment,Green Point,Exclusive Mandate – High up on the 7th floor with sensational views from every room ...,87 Somerset Road,67.0,2595000,1.0,1.0,1.0,Pam Golding Properties - Waterfront,38731.34328358209
4539,111208172,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111208172,Apartment,Green Point,"The Portswood (AIRB'N'B FRIENDLY)The original house on this piece of land proudly carried the name ""Portswood' for ...",,82.0,3850000,2.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,46951.21951219512
4544,111054412,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111054412,Apartment,Green Point,"Spacious, three bedroom apartment with a large private garden and entertainment areas, offering all the benefits of a free standing ...",,232.0,9450000,3.0,2.0,3.0,Tyson Properties Atlantic Seaboard,40732.75862068965
4552,110188686,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110188686,Apartment,Green Point,Exclusive Mandate – High up on the 7th floor with sensational views from every room ...,87 Somerset Road,67.0,2595000,1.0,1.0,1.0,Pam Golding Properties - Waterfront,38731.34328358209
4554,111081266,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111081266,Apartment,Green Point,"This magnificent unit is a blend of exposed concrete and top class finishes direct access from double garage,excellent flow from open ...",,254.0,12500000,3.0,3.0,2.0,Pam Golding Properties - Atlantic Seaboard,49212.59842519685
4657,111068110,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111068110,Apartment,Green Point,"SOLE MANDATE Ultra modern spacious one bedroom, one bathroom apartment. Currently on the airbnb market making + – R 30 000.00 per ...",,60.0,3295000,1.0,1.0,1.0,Stonehurst Properties,54916.666666666664
4701,110587757,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110587757,Apartment,Green Point,This gorgeous one bedroomed apartment is situated in a block most centrally located in the heart of Green Point . Walk to the stadium ...,,67.0,1980000,1.0,1.0,1.0,Jawitz Atlantic Seaboard,29552.238805970148
4774,101107355,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/101107355,Apartment,Green Point,• Renovated studio in the heart of Green Point• 24 Hour security and reception• Private courtyard garden for your exclusive use• ...,,50.0,2610000,,1.0,1.0,Soukop Property Group - Sea Point,52200.0
4781,111427083,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111427083,Apartment,Green Point,• Renovated studio in the heart of Green Point• 24 Hour security and reception• Private courtyard garden for your exclusive use• ...,,50.0,2610000,,1.0,1.0,Soukop Property Group - Sea Point,52200.0
4846,110801555,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110801555,Apartment,Green Point,"Located in a tranquil and secure art deco block, this updated, front facing and well maintained 1 bedroom apartment has so much to ...",,78.0,2300000,1.0,1.0,,Rawson Properties Atlantic,29487.17948717949
4864,110886195,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110886195,Apartment,Green Point,This modern apartment is situated in a small boutique complex of only three units. With generous open plan living areas flowing onto a ...,,190.0,9500000,3.0,4.0,1.0,Keller Williams Explore Atlantic,50000.0
4912,111046284,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111046284,Apartment,Green Point,"This penthouse apartment is set out over two floors, offering a stunning open plan living feel with clean lines and modern ...",,133.0,6995000,3.0,2.5,1.0,Complete Coast Properties,52593.984962406015
4920,111015966,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111015966,Apartment,Green Point,"Fully furnished, one bedroom apartment in Cape Royale, for sale. The apartment offers one bedroom with an en-suite bathroom (with ...",,61.0,2750000,1.0,1.0,1.0,,45081.96721311475
4984,110462312,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110462312,Apartment,Green Point,Exclusive MandateNow is your chance to own a piece of real estate in the heart of ...,53 Main Road,145.0,3895000,3.0,1.0,1.0,Quay 1 International Realty,26862.068965517243
5019,110612283,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110612283,Apartment,Green Point,"Industrial Chic Apartment, Ultra Lavish and Retro Stylish.(This place has the best ...",15 Bennett St,95.0,3800000,2.0,2.0,2.0,,40000.0
5058,111078622,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111078622,Apartment,Green Point,"// Exclusive Sole Mandate //Immaculate one-bedroom apartment in the heart of vibey Green Point, just a stone throw away from the ...",,68.0,2900000,1.0,1.0,1.0,Evolution Properties,42647.05882352941
5065,110468283,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110468283,Apartment,Green Point,"Located in the heart of Green Point, this home boasts investment opportunity and is one ...",86 Joubert Road,60.0,2295000,1.0,1.0,,Quay 1 International Realty,38250.0
5147,110953191,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110953191,Apartment,Green Point,The location of this two-bedroomed apartment is exceptional. Offering breathtaking views over Greenpoint to the sparkling panorama of ...,,291.0,12950000,2.0,3.0,,Engel & Volkers Camps Bay,44501.71821305842
5157,109926129,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109926129,Apartment,Green Point,"Situated in a centrally located block in Green Point, this modern apartment consists of ...",101 Main Road,63.0,2200000,2.0,1.0,,RE/MAX Living,34920.63492063492
5161,110777349,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110777349,Apartment,Green Point,Sole mandate with video walk through.KEY FACTS - Airbnb friendly24 security and full concierge serviceRooftop poolTwo ...,,119.0,4490000,2.0,2.0,2.0,Hardie Property,37731.09243697479
5204,109011566,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109011566,Apartment,Green Point,View by Appointment. The absolute perfect lock up and go Cape Town pad. Bordering the ...,48 Main Road,125.0,4795000,2.0,2.0,2.0,Live Real Estate,38360.0
5269,109375674,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109375674,Apartment,Green Point,"Top floor apartment.Corner unit with pleasant views of the ocean over Waterfront and Mountain views.2 double bedrooms, bathroom ...",,82.0,3195000,2.0,1.0,1.0,Engel & Volkers Camps Bay,38963.41463414634
5310,110953581,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110953581,Apartment,Green Point,"This luxurious apartment situated on the second floor, offers a spacious interior and a breath-taking ocean view from the private ...",,102.0,5400000,2.0,2.0,2.0,Amazing Spaces Lifestyle Investments,52941.17647058824
5375,109726591,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109726591,Apartment,Green Point,"Perfect for sundowners with a sea view and balcony braais, open plan living area folding ...",32 Chepstow Road,101.0,4495000,2.0,2.0,2.0,The Agency Property Group,44504.9504950495
5382,111064240,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111064240,Apartment,Green Point,JOINT MANDATE - This modern and sophisticated unit offers 2 en-suite spacious bedrooms. The dining and lounge area offers an open plan ...,,95.0,5350000,2.0,,2.0,TPF Waterfront Property,56315.78947368421
5384,110953450,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110953450,Apartment,Green Point,"This  luxurious apartment situated on the third floor, offers a spacious interior and a breath-taking ocean view from the private ...",,103.0,5700000,2.0,2.0,2.0,Amazing Spaces Lifestyle Investments,55339.80582524272
5478,109796874,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109796874,Apartment,Green Point,Situated in the heart of Green Point. This magnificent appointed apartment features a modern kitchen fitted with top of the range ...,,56.0,2850000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,50892.857142857145
5496,109470068,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109470068,Apartment,Green Point,"This 2 bedroom apartment provides generous storage, 2 bathrooms and a living and dining space that flows perfectly.This north-facing ...",,75.0,3250000,2.0,2.0,1.0,Seeff Sea Point - Sales,43333.333333333336
5549,109385988,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109385988,Apartment,Green Point,"A penthouse with distinction boasting exceptional 180-degree views over the entire Table Bay, including views from Green Point Park ...",,332.0,12995000,3.0,3.0,2.0,Chas Everitt Atlantic Seaboard and City Bowl,39141.56626506024
5580,110990512,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110990512,Apartment,Green Point,"Sole Mandate - Exclusive to Sotheby'sFantastically priced bachelor apartment, East facing on the 5th floor.This block does ...",,42.0,1500000,0.5,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,35714.28571428572
5621,110949577,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110949577,Apartment,Green Point,"Private sale. Priced to go immediately at R 26.635Very large, spacious and light ...",49 High Level Road,107.0,2895000,2.0,1.5,1.0,,27056.07476635514
5697,111110112,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111110112,Apartment,Green Point,"Brand new apartment. Directly opposite the popular Greenpoint Park.Beautiful finishes, double glazing, Smeg built in ...",,47.0,2850000,1.0,1.0,1.0,Chris Bernard Properties Atlantic Seaboard,60638.29787234042
5738,110939282,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110939282,Apartment,Green Point,"This newly built luxurious apartment Situated on the first floor, offers a spacious interior and amazing views of the ocean from the ...",,101.0,5300000,2.0,2.0,3.0,Amazing Spaces Lifestyle Investments,52475.24752475248
5750,110870058,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110870058,Apartment,Green Point,"Priced to sell! View by Appointment. This north facing corner apartment, 2 bedroom, 2 ...",23 Cavalcade,92.0,4450000,2.0,2.0,2.0,Live Real Estate,48369.565217391304
5766,110622610,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110622610,Apartment,Green Point,Sole MandateTaronga Mansions is a conveniently located apartment block in the heart ...,135 Main Road,128.0,3895000,2.0,2.0,2.0,Icon Properties,30429.6875
5798,110502559,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110502559,Apartment,Green Point,This 34 sqm Studio apartment is situated in the heart of Vibrant Green Point. ...,73 Somerset Road,34.0,1300000,0.5,1.0,1.0,,38235.294117647056
5981,110938333,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110938333,Apartment,Green Point,"This wonderful 2 bedroom apartment is located in Romney Park, a historical 5-star hotel in the heart of Green Point. Offered fully ...",,105.0,6595000,2.0,2.0,2.0,Property Alliance,62809.52380952381
6099,107158227,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107158227,Apartment,Green Point,"One of only 2 units, this home boasts space, privacy and views. Direct access from the ...",8 Chepstow Road,312.0,7495000,3.0,2.0,2.0,Pam Golding Properties - Atlantic Seaboard,24022.4358974359
6108,110824177,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110824177,Apartment,Green Point,"Spacious 2 bed, 2 bath apartment in the heart of Green Point. Master bedroom and lounge both open up onto large balcony.Highly secure ...",,127.0,3950000,2.0,2.0,2.0,,31102.36220472441
6144,110952853,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110952853,Apartment,Green Point,"Sunny, spacious 3 bedroom apartment on top floor of a small block, across the road from Reddam school in Green Point and with great ...",,107.0,3695000,3.0,1.0,1.0,Evolution Properties,34532.71028037383
6160,108976680,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108976680,Apartment,Green Point,"Finally, an apartment that has it all!Two bedrooms, two bathrooms, two parking bays and ...",27 High Level Road,117.0,3995000,2.0,2.0,2.0,Dogon Group Sea Point - Head Office,34145.29914529915
6193,108805361,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108805361,Apartment,Green Point,"This modern apartment is located in central Green Point, close to all local amenities and within easy reach of beaches and the city ...",,83.0,3495000,2.0,2.0,1.0,Engel & Volkers Camps Bay,42108.43373493976
6209,109876064,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109876064,Apartment,Green Point,This great apartment situated in a fabulous new block is a perfect home/investment ...,8 Romney Road,67.0,2750000,1.0,1.0,1.0,Live Real Estate,41044.77611940299
6277,109657539,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109657539,Apartment,Green Point,"VAT inclusive - No Transfer duty payable.Furnished, renovated, spacious 2-bedroom, 2-bathroom apartment with built in cupboards. The ...",,95.0,4450000,2.0,2.0,1.0,Engel & Volkers Camps Bay,46842.10526315789
6303,110793848,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110793848,Apartment,Green Point,"Situated on the top floor of a great block, this 2 bedroom front facing unit has amazing potential and fantastic views of the Green ...",,90.0,2995000,2.0,2.0,1.0,Tyson Properties Atlantic Seaboard,33277.77777777778
6414,110843840,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110843840,Apartment,Green Point,"This beautiful 2 bedroom, 2 bathroom DOUBLE STORY apartment with rooftop entertainment deck is now available. Situated in prime ...",,63.0,4995000,2.0,2.0,1.0,Live Real Estate,79285.71428571429
6530,110874333,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110874333,Apartment,Green Point,"Set in upper Green Point this top floor, 2 bedroom, 2 bathroom (M.E.S) apartment is well worth checking out. Open plan kitchen and ...",,97.0,3200000,2.0,2.0,1.0,RE/MAX Living,32989.69072164949
6563,110621875,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110621875,Apartment,Green Point,"Three Bedroom first floor apartment.Two bedrooms with built-in cupboards, the third ...",65 Main Road,113.0,3495000,3.0,1.0,1.0,,30929.203539823007
6579,110587146,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110587146,Apartment,Green Point,This spacious 3 bedroom apartment is located in a safe block with 24/7 security. All bedroom are fitted with built-in cupboards. Each ...,,106.0,2950000,3.0,1.0,1.0,Rawson Properties Atlantic,27830.188679245282
6601,110634730,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110634730,Apartment,Green Point,This wonderful apartment has magnificent views of the Atlantic Ocean and is a ...,153 High Level Road,75.0,1995000,1.0,1.0,,Robshaw Property Group,26600.0
6612,110544810,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110544810,Apartment,Green Point,"Neatly maintained block, friendly entrance and great double gated security with intercom ...","1 Ventnor,213 Main Rd, Three Anchor Bay 2 Ventnor House",113.0,3995000,2.0,2.0,1.0,,35353.982300884956
6623,110606799,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110606799,Apartment,Green Point,This stunning 3 storey loft in sought after Victoria Junction is one of the largest units in the complex. This modern industrial style ...,,212.0,5495000,3.0,2.0,1.0,"RE/MAX, Property Associates - Table View",25919.811320754718
6624,111311682,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111311682,Apartment,Green Point,Exclusive listing. Excited to have this gorgeous apartment in the popular Portside in ...,1 Upper Portswood Road,132.0,4250000,2.0,2.0,2.0,Live Real Estate,32196.969696969696
6631,110662086,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110662086,Apartment,Green Point,Exclusive listing. Excited to have this gorgeous apartment in the popular Portside in ...,1 Upper Portswood Road,132.0,4250000,2.0,2.0,2.0,Live Real Estate,32196.969696969696
6643,110259425,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110259425,Apartment,Green Point,"Absolutely breathtaking unit in the ever-so-popular Green Point, in the one and only ...","Ss Cape Royale, 45 Main Road",71.0,2795000,1.0,1.0,1.0,Quay 1 International Realty,39366.19718309859
6703,109937274,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109937274,Apartment,Green Point,This top floor corner apartment has been stylishly designed with the perfect modern mix of exposed brick work and sleek finishes.A ...,,114.0,3995000,2.0,2.0,1.0,Dogon Group Sea Point - Head Office,35043.85964912281
6745,109621532,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109621532,Apartment,Green Point,Price: R 4.995 Million (incl. VAT - no transfer duty)169 On Main offers a selection of 1 bedroom and 2 bedroom units which have been ...,,81.0,4995000,2.0,2.0,2.0,Dogon Group Sea Point - Head Office,61666.666666666664
6754,110659547,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110659547,Apartment,Green Point,"Find yourself on top of the world in Green Point's Flagship development, the Odyssey in one of 2 Penthouse apartments.With ...",,80.0,4950000,2.0,2.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,61875.0
6764,110564715,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110564715,Apartment,Green Point,"Located on Main Rd with surprisingly no disturbing noise levels. On My City bus route, across the road from Urban Park. Great ...",,77.0,2300000,1.0,1.0,,,29870.12987012987
6794,110536372,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110536372,Apartment,Green Point,Located in the very cosmopolitan suburb of Green point. This apartment  has idyllic views from the East to the West.Property features ...,,129.0,4700000,2.0,2.0,3.0,Tyson Properties Atlantic Seaboard,36434.108527131786
6851,110953965,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110953965,Apartment,Green Point,"This luxurious apartment situated on the ground floor, offers a spacious interior, and private garden. This gem features 102sqm of ...",,102.0,5700000,2.0,2.0,2.0,Amazing Spaces Lifestyle Investments,55882.35294117647
6864,110259972,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110259972,Apartment,Green Point,"This large stunning two bedroom apartment set in the heart of Three Anchor Bay, with amazing  360* views of the mountain and the ...",,105.0,2995000,2.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,28523.809523809523
6866,110547262,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110547262,Apartment,Green Point,This is your opportunity for you to acquire your forever home in the ever so popular ...,129 High Level Road,79.0,1950000,2.0,1.0,1.0,Quay 1 International Realty,24683.54430379747
6903,110457582,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110457582,Apartment,Green Point,"Own your slice of paradise in this bespoke residential hotel in the heart of Green Point. With concierge, tended bar, immaculate ...",,103.0,6900000,2.0,2.0,2.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,66990.29126213593
6906,110259437,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110259437,Apartment,Green Point,Sole Agreement.This spectacular unit finds itself nestled in one of the hottest ...,"Ss Villa Palmar, 9 Upper Portswood Road",63.0,2000000,1.0,1.0,,Quay 1 International Realty,31746.031746031746
6922,110600687,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110600687,Apartment,Green Point,This stunning Loft in Victoria Junction has a beautiful lounge and dining area. U Shape Kitchen as you enter into the loft. Spiral ...,,83.0,2300000,1.0,1.0,1.0,"RE/MAX, Property Associates - Table View",27710.843373493975
6936,110631106,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110631106,Apartment,Green Point,EXCLUSIVE MANDATE This stunning 1 bedroom apartment in the heart of Green Point has a lot to offer.Apartment Features:Opulent ...,,47.0,2995000,1.0,1.0,1.0,Tyson Properties Atlantic Seaboard,63723.40425531915
6954,110595151,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110595151,Apartment,Green Point,Perfectly located 2 bedroom 1 bathroom apartment with a balcony and beautiful views.Property features:Sea Views1 Secure ...,,76.0,2850000,2.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,37500.0
6975,110127160,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110127160,Apartment,Green Point,"High up in the Sky with towering views over the Green Point coastline, this corner top floor 2-bedroom apartment is incredible. With ...",,100.0,5750000,2.0,2.0,2.0,Tyson Properties Atlantic Seaboard,57500.0
7000,110392466,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110392466,Apartment,Green Point,"IN THE HEART OF THE GREEN POINT VILLAGEThis front facing (NORTH), TOP floor apartment in a very desirable position in the very ...",,121.0,4495000,3.0,2.0,1.0,RE/MAX Living,37148.760330578516
7067,110311352,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110311352,Apartment,Green Point,"Needle in a Haystack!  There are only a handful of penthouses in Cape Town, which one could label as spectacular.  This is indeed one ...",,140.0,6750000,2.0,2.0,3.0,RE/MAX Living,48214.28571428572
7113,110497335,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110497335,Apartment,Green Point,ON SHOW BY APPOINTMENT ONLYA great place to own an investment! An absolute stunning apartment in a fantastic location. This is a 3 ...,,176.0,6950000,3.0,3.5,2.0,Tyson Properties Atlantic Seaboard,39488.63636363636
7132,109553291,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109553291,Apartment,Green Point,"Situated in one of the best blocks in the suburb, this modern 1 bedroom apartment is situated a stones throw from the Promenade. And  ...",,47.0,3300000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,70212.76595744681
7138,109719158,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109719158,Apartment,Green Point,Location location location! !Spacious and neat 1 bedroom apartment. Renovated new open plan kitchen. This is a neat and cozy ...,,45.0,1480000,1.0,1.0,,,32888.88888888889
7163,109579744,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109579744,Apartment,Green Point,This mountain facing studio apartment has the convenience of location being close to the Beachfront and the V & A Waterfront and a ...,,36.0,1995000,,1.0,,Dogon Group Sea Point - Head Office,55416.666666666664
7186,107165128,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107165128,Apartment,Green Point,Beautiful modern 3 bedroom apartment high up in sought after Merriman Road with spectacular 270 degree views. Small block with only 5 ...,,279.0,13500000,3.0,3.0,2.0,Live Real Estate,48387.096774193546
7226,109325243,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109325243,Apartment,Green Point,"The Portswood is a very modern, boutique apartment block that will be scheduled for completion at the end of 2021. The designer styled ...",,49.0,2475000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,50510.204081632655
7287,109626690,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109626690,Apartment,Green Point,"This little studio is nestled in a quite, green block in the heart of Green Point, is the ideal little student home, or for the young ...",,46.0,1500000,0.5,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,32608.695652173912
7298,108970863,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108970863,Apartment,Green Point,"Priced to SellThis quiet apartment is located in Taronga Mansions, located on the Main Road in the thick of the Green Point ...",,77.0,2250000,2.0,1.0,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,29220.77922077922
7397,109108917,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109108917,Apartment,Green Point,"At the Residence, one can finally feel a home that truly depicts class, elegance and ...","Ss THE Residence, 15 Chepstow Road",112.0,5995000,2.0,2.0,2.0,Quay 1 International Realty,53526.78571428572
7422,107158998,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107158998,Apartment,Green Point,True european flair .  Corner apartment high up in block with magnificent mountain views. Spacious 1 bedroom apartment with en-suite ...,,62.0,3650000,1.0,1.0,1.0,Live Real Estate,58870.967741935485
7430,110687164,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110687164,Apartment,Green Point,"This compact studio apartment is close to the Green Point Park with lakes, jogging trails, a hedge maze and a biodiversity garden ...",,38.0,1400000,1.0,1.0,1.0,EXP South Africa,36842.10526315789
7508,109867508,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109867508,Apartment,Green Point,Find yourself nestled high up on the 6th floor of one of Green Points most sought after blocks.The luxurious living that the block ...,,67.0,2999000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,44761.19402985075
7544,108053239,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108053239,Apartment,Green Point,"This exquisite unit offers the most stylish lifestyle, that one would expect to see on the cover of any design magazine. The top level ...",,297.0,30000000,3.0,2.5,2.0,Pam Golding Properties - Atlantic Seaboard,101010.101010101
